Iteracio ; X1 ; X2 ; F(x) ; pontos egyezoseg; futas (milliszekundum)
22057;-10,6666;113,7112;135,67317;13151,35944;8
88609;-17,8338;317,7586;346,64207;33601,44414;33
7006;-6,5263;42,4285;53,96919;5231,45564;2
41812;-12,4951;155,9621;179,39427;17389,42561;16
21632;-8,5942;73,7541;90,9303;8814,24889;7
31033;-13,1637;173,1304;198,25903;19218,064;11
37647;-13,1085;171,8921;198,68919;19259,76156;14
53679;-13,7811;189,8082;217,25175;21059,10733;20
45417;15,3722;236,3396;206,42503;20009,62853;16
43466;-12,402;153,66;177,35269;17191,52683;16
44706;-13,0889;171,1756;196,44478;19042,20182;16
61939;-14,6268;213,94;244,1961;23670,93429;23
24813;-10,0143;100,1836;120,27986;11659,22186;9
35195;-12,982;168,6401;194,35566;18839,69478;13
28109;-12,5837;158,4525;183,46806;17784,31451;11
19124;-8,1659;66,6456;83,87973;8130,80787;6
28806;-12,8943;166,2422;193,01188;18709,4362;11
23579;-8,9974;81,0116;99,61581;9656,17052;8
33661;-11,2229;125,8476;148,29264;14374,61661;13
43325;-13,8443;191,6415;220,2989;21354,48016;16
31251;-12,0888;146,0923;171,09566;16585,00677;12
48395;-14,4497;208,7608;238,58264;23126,79771;18
35652;-13,1231;172,4022;195,97741;18996,89778;14
18402;-8,8142;77,6424;96,09374;9314,7617;6
11469;-7,7957;60,7226;77,11647;7475,21708;4
18033;-10,3353;106,8429;128,42961;12449,2112;7
87562;-20,6029;424,2982;463,40168;44919,43386;33
16358;-9,5582;91,3412;111,44458;10802,78196;6
23560;-8,1425;66,4093;82,39815;7987,19247;9
31929;-12,5171;156,7259;182,48268;17688,79828;12
