Populacio merete:;1000;Maximalis generacio:; 100; Elitek aranya:;0,25;Mutacio valoszinusege:;0,1;Kilepesi feltetel:;10;Csoport nagysaga:;0
Populacio ; X1 ; X2 ; F(x) ; pontos egyezoseg; futas (milliszekundum)
60;-1,05646;1,12199;4,2256;409,60446;47
72;0,61909;0,34201;-0,0252;-2,4429;62
74;0,42897;0,07123;-0,94604;-91,7038;47
47;0,70856;0,38491;-1,28731;-124,78432;31
49;-0,74742;0,4718;2,29948;222,89831;47
100;0,2759;0,15122;-0,03966;-3,84423;63
100;0,02569;0,02569;0,88666;85,94734;74
74;0,50467;0,05111;-3,8993;-377,97553;47
86;-0,33295;0,04963;1,40191;135,893;62
75;0,37336;0,00215;-1,49099;-144,52817;62
37;0,51133;0,22192;0,08247;7,99431;31
74;0,23532;0,19248;-1,29498;-125,52809;62
100;0,8543;0,6492;-0,62886;-60,95829;78
74;0,27891;0,15777;-0,11972;-11,60475;62
58;0,32609;0,1223;0,42868;41,5533;46
76;0,60165;0,29993;-0,22645;-21,95039;62
100;0,25907;0,05704;0,53883;52,23105;78
67;0,11205;0,13218;-0,64249;-62,27889;46
92;0,48436;0,34178;-0,88264;-85,55839;78
67;0,15185;0,07624;0,43656;42,31778;46
74;0,40157;0,10147;0,00069;0,06708;62
63;0,23236;0,00833;0,38072;36,90493;46
42;-0,50979;0,10178;-0,2201;-21,3349;44
100;0,19717;0,16798;-1,02235;-99,10072;79
81;0,05643;0,03502;0,78899;76,4801;62
100;0,47512;0,87385;-41,72974;-4045,03552;63
35;0,25141;0,04495;0,52708;51,09204;15
66;0,69037;0,73707;-6,68815;-648,30986;47
64;0,39147;0,85026;-48,2123;-4673,41671;46
100;0,81108;0,58821;-0,44927;-43,54943;78
